20000	_archangelwings	archabgel_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2000	bonus bAllstats,2;	\N	\N
20001	_archdemonwings	archdemon_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2001	bonus bStr,10; bonus bAgi,10; bonus bDex,10; bonus bVit,10; bonus bLuk,10; bonus bInt,10;	\N	\N
20002	_arcticwings	arctic_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2002	bonus bInt,15; bonus2 bAddEle,Ele_Water,10; skill "MG_COLDBOLT",5;	\N	\N
20003	_bigangelwings	bigangel_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2003	bonus bStr,20; bonus bAgi,20; bonus bVit,20;	\N	\N
20004	_bloodwings	bloody_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2004	bonus bStr,5; bonus bAgi,5; bonus bDex,5; bonus bVit,5; bonus bLuk,5; bonus bInt,5; bonus2 bSubRace,RC_DemiHuman,10; bonus2 bAddRace,RC_DemiHuman,10;	\N	\N
20005	_bloodybutterflywings	bloodbutterfly_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2005	bonus bStr,5; bonus bAgi,5; bonus bDex,5; bonus bVit,5; bonus bLuk,5; bonus bInt,5; bonus2 bSubEle,Ele_Fire,20;	\N	\N
20006	_bluebutterflywings	bbutterfly_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2006	bonus bAgi,20; bonus bFlee,15; bonus bFlee2,5;	\N	\N
20007	_darkfairywings	Black_fairy_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2007	bonus bAgi,20; bonus bStr,20; bonus bSpeedRate,10;	\N	\N
20008	_devilingwings	Devil_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2008	bonus bStr,20; bonus bVit,20; skill "AL_ANGELUS",10;	\N	\N
20009	_dragonwings	Dragon_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2009	bonus bAllstats,10;	\N	\N
20010	_elementalwings	Elemental_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2008	bonus bInt,10; bonus2 bSubEle,Ele_Water,15; bonus2 bSubEle,Ele_Fire,15; bonus2 bSubEle,Ele_Wind,15;bonus2 bSubEle,Ele_Earth,15;	\N	\N
20011	_fireywings	Icarus_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2009	specialeffect2 375; bonus bAgi,3; bonus3 bSubEle,Ele_Water,15,BF_SHORT; bonus3 bSubEle,Ele_Earth,15,BF_SHORT; bonus3 bSubEle,Ele_Fire,15,BF_SHORT; bonus3 bSubEle,Ele_Wind,15,BF_SHORT; bonus3 bSubEle,Ele_Poison,15,BF_SHORT; bonus3 bSubEle,Ele_Holy,15,BF_SHORT; bonus3 bSubEle,Ele_Dark,15,BF_SHORT; bonus3 bSubEle,Ele_Ghost,15,BF_SHORT; bonus3 bSubEle,Ele_Undead,15,BF_SHORT;	\N	\N
20012	_gargoylewings	Gargoyle_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2002	bonus bDex,20; bonus2 bSubEle,Ele_Undead,10; bonus2 bAddEff,Eff_Stone,700;	\N	\N
20013	_greatevilwings	Demon_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2142	bonus bStr,20; bonus2 bSubEle,Ele_Dark,10; bonus2 bAddEff,Eff_Bleeding,700;	\N	\N
20014	_vampirewings	Vampire_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	4	specialeffect2 375; specialeffect2 590; bonus bAllstats,5; bonus bSubEle,Ele_Wind; bonus3 bAddEff,Eff_Curse,5000,ATF_SHORT; bonus2 bAddRace,RC_DemiHuman,3; bonus2 bSubRace,RC_DemiHuman,5; if(isequipped(20065))  skill "TK_SEVENWIND",5; bonus bStr,6; bonus bDex,3;	\N	\N
20015	_whitefairywings	White_fairy_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2003	bonus bAgi,20; bonus bFlee,30; bonus bSpeedRate,10;	\N	\N
20016	_wingofbalance	Fusion_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2004	bonus bVit,20; bonus bMaxHPrate,15; bonus2 bAddRace,RC_DemiHuman,10; specialeffect2 375; specialeffect2 590;	\N	\N
20017	_wingsofavalon	avalon_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2001	bonus bStr,20; bonus2 bSubRace,RC_DemiHuman,10; skill "NJ_SHADOWJUMP",5;	\N	\N
20018	Angel_Wings	Angel_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2002	bonus bStr,10; bonus bAgi,10; bonus bDex,10; bonus bVit,10; bonus bLuk,10; bonus bInt,10;	\N	\N
20019	back_sword	Back Sword	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	9	bonus bAllStats,3; bonus2 bSubRace,RC_DemiHuman,3;	\N	\N
20020	black_helm	Black Helm	5	20	\N	150	\N	6	\N	1	4294967295	7	2	256	\N	1	1	2020	bonus2 bSubRace,RC_DemiHuman,3; bonus bStr,5; bonus bDex,5;	\N	\N
20021	Butterfly_Wings	Butterfly_wings	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2021	\N	\N	\N
20022	Circulo_de_Amor	Flower Ring	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2022	\N	\N	\N
20023	Circulo_de_Dragao	Dragon Aura	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1024	\N	1	0	2023	bonus bInt,3; bonus bMatkRate,15; bonus3 bAutoSpellWhenHit,"NPC_EARTHQUAKE",3,100;	\N	\N
20024	Circulo_de_Poder	Hell Ring	5	20	\N	0	\N	2	\N	1	4294967295	7	2	1	\N	1	0	2024	bonus bLuk,20; bonus bFlee2,10;	\N	\N
20026	Dark_Valkyrie_Helm	Darks Valkyrie	5	20	\N	150	\N	6	\N	1	4294967295	7	2	256	\N	1	1	2026	\N	\N	\N
20027	Demon_Wings	Demon Wings	5	\N	0	10	\N	10	\N	1	2147483647	7	2	1	\N	1	1	2027	\N	\N	\N
